a_p1,a_o1,a_p2,a_o2,b_p1,b_o1,b_p2,b_o2,a_ev,b_ev,ev_diff,ev_ratio,rare
0.3,0.07,0.7,16.85,1,0.94,0,0,11.82,0.94,10.88,12.57,none
0.39,3.68,0.61,18.42,1,14.62,0,0,12.67,14.62,-1.95,0.87,none
0.45,3.06,0.55,10.72,1,8.6,0,0,7.27,8.6,-1.33,0.85,none
0.96,10.78,0.04,16.74,1,12.44,0,0,11.02,12.44,-1.42,0.89,attractive
0.51,4.19,0.49,17.88,1,10.61,0,0,10.9,10.61,0.29,1.03,none
0.98,13.93,0.02,19.06,1,14.97,0,0,14.03,14.97,-0.94,0.94,attractive
0.93,6.09,0.07,18.96,1,8.24,0,0,6.99,8.24,-1.25,0.85,attractive
0.28,1.2,0.72,19.45,1,2.28,0,0,14.34,2.28,12.06,6.29,none
0.95,1.99,0.05,9.84,1,7.13,0,0,2.38,7.13,-4.75,0.33,attractive
0.43,2.35,0.57,18.42,1,16.63,0,0,11.51,16.63,-5.12,0.69,none
0.08,12.49,0.92,18.41,1,18.08,0,0,17.94,18.08,-0.14,0.99,unattractive
0.21,5,0.79,10.33,1,8.9,0,0,9.21,8.9,0.31,1.03,none
0.22,8.69,0.78,13.03,1,12.44,0,0,12.08,12.44,-0.36,0.97,none
0.73,11.28,0.27,19.83,1,12.09,0,0,13.59,12.09,1.5,1.12,none
0.79,3.16,0.21,17.98,1,13.09,0,0,6.27,13.09,-6.82,0.48,none
0.18,9.55,0.82,18.14,1,15.79,0,0,16.59,15.79,0.8,1.05,unattractive
0.9,6.48,0.1,18.52,1,13.77,0,0,7.68,13.77,-6.09,0.56,attractive
0.45,9.85,0.55,16.56,1,14.15,0,0,13.54,14.15,-0.61,0.96,none
0.06,3.36,0.94,17.14,1,9.88,0,0,16.31,9.88,6.43,1.65,unattractive
0.53,8.31,0.47,11.31,1,10.38,0,0,9.72,10.38,-0.66,0.94,none
0.81,1.41,0.19,12,1,3.04,0,0,3.42,3.04,0.38,1.12,attractive
0.3,0.81,0.7,18.8,1,13.97,0,0,13.4,13.97,-0.57,0.96,none
0.12,5.65,0.88,12.63,1,6.9,0,0,11.79,6.9,4.89,1.71,unattractive
0.9,8.12,0.1,18.2,1,15.28,0,0,9.13,15.28,-6.15,0.6,attractive
0.25,0.24,0.75,19.15,1,0.41,0,0,14.42,0.41,14.01,35.17,none
0.08,4.06,0.92,9.34,1,8.34,0,0,8.92,8.34,0.58,1.07,unattractive
0.83,8.69,0.17,12.79,1,9.33,0,0,9.39,9.33,0.06,1.01,attractive
0.83,5.03,0.17,17.27,1,10.98,0,0,7.11,10.98,-3.87,0.65,attractive
0.43,3.79,0.57,14.91,1,10.64,0,0,10.13,10.64,-0.51,0.95,none
0.14,2.98,0.86,17.58,1,9.41,0,0,15.54,9.41,6.13,1.65,unattractive
0.4,0.47,0.6,16.66,1,1.74,0,0,10.18,1.74,8.44,5.85,none
0.4,1.18,0.6,17.64,1,2.65,0,0,11.06,2.65,8.41,4.17,none
0.44,9.34,0.56,16.88,1,15.86,0,0,13.56,15.86,-2.3,0.85,none
0.95,11.72,0.05,19.16,1,16.32,0,0,12.09,16.32,-4.23,0.74,attractive
0.29,9.38,0.71,17.46,1,14.08,0,0,15.12,14.08,1.04,1.07,none
0.58,9.76,0.42,19.15,1,18.01,0,0,13.7,18.01,-4.31,0.76,none
0.36,3.99,0.64,17.61,1,9.08,0,0,12.71,9.08,3.63,1.4,none
0.02,1.05,0.98,14.18,1,1.54,0,0,13.92,1.54,12.38,9.04,unattractive
0.68,9.65,0.32,14.1,1,11.11,0,0,11.07,11.11,-0.04,1,none
0.26,5.75,0.74,13.32,1,9.4,0,0,11.35,9.4,1.95,1.21,none
0.08,14.17,0.92,19.32,1,14.77,0,0,18.91,14.77,4.14,1.28,unattractive
0.39,0.35,0.61,11.81,1,0.68,0,0,7.34,0.68,6.66,10.79,none
0.5,1.86,0.5,15.05,1,10.44,0,0,8.46,10.44,-1.98,0.81,none
0.91,1.44,0.09,19.3,1,2.91,0,0,3.05,2.91,0.14,1.05,attractive
0.31,10.41,0.69,14.7,1,12.92,0,0,13.37,12.92,0.45,1.03,none
0.84,2.48,0.16,14.78,1,6.6,0,0,4.45,6.6,-2.15,0.67,attractive
0.24,9.67,0.76,18.55,1,12.21,0,0,16.42,12.21,4.21,1.34,none
0.41,11.82,0.59,15.89,1,14.69,0,0,14.22,14.69,-0.47,0.97,none
0.59,4.12,0.41,8.26,1,7.07,0,0,5.82,7.07,-1.25,0.82,none
0.77,7.3,0.23,8.1,1,7.6,0,0,7.48,7.6,-0.12,0.98,none
0.07,7.98,0.93,19.16,1,15.42,0,0,18.38,15.42,2.96,1.19,unattractive
0.7,1.19,0.3,14.47,1,8.55,0,0,5.17,8.55,-3.38,0.6,none
0.74,8.03,0.26,19.52,1,9.41,0,0,11.02,9.41,1.61,1.17,none
0.33,5.89,0.67,16.91,1,11.25,0,0,13.27,11.25,2.02,1.18,none
0.97,0.18,0.03,18.27,1,1.73,0,0,0.72,1.73,-1.01,0.42,attractive
0.22,3.87,0.78,14.81,1,11.17,0,0,12.4,11.17,1.23,1.11,none
0.76,2.69,0.24,17.67,1,13.54,0,0,6.29,13.54,-7.25,0.46,none
0.42,6.99,0.58,17.17,1,8.2,0,0,12.89,8.2,4.69,1.57,none
0.24,16.69,0.76,19.52,1,19.19,0,0,18.84,19.19,-0.35,0.98,none
0.58,5.04,0.42,19.92,1,17.26,0,0,11.29,17.26,-5.97,0.65,none
0.37,8.48,0.63,17.62,1,15.95,0,0,14.24,15.95,-1.71,0.89,none
0.9,6.61,0.1,16.16,1,12.45,0,0,7.57,12.45,-4.88,0.61,attractive
0.51,3.32,0.49,15.52,1,13.51,0,0,9.3,13.51,-4.21,0.69,none
0.65,1.15,0.35,14.34,1,7.92,0,0,5.77,7.92,-2.15,0.73,none
0.36,1.79,0.64,19.77,1,18.1,0,0,13.3,18.1,-4.8,0.73,none
0.02,2.59,0.98,8.11,1,3.12,0,0,8,3.12,4.88,2.56,unattractive
0.31,2.86,0.69,18.25,1,15.49,0,0,13.48,15.49,-2.01,0.87,none
0.68,3.53,0.32,17.25,1,5.62,0,0,7.92,5.62,2.3,1.41,none
0.3,5.52,0.7,16.82,1,7.36,0,0,13.43,7.36,6.07,1.82,none
0.87,11.25,0.13,15.69,1,12.97,0,0,11.83,12.97,-1.14,0.91,attractive
0.54,5.83,0.46,11.54,1,6.22,0,0,8.46,6.22,2.24,1.36,none
0.16,0.83,0.84,7.34,1,6.43,0,0,6.3,6.43,-0.13,0.98,unattractive
0.14,2.34,0.86,7.24,1,3.04,0,0,6.55,3.04,3.51,2.15,unattractive
0.41,0.03,0.59,8.12,1,3.97,0,0,4.8,3.97,0.83,1.21,none
0.56,3.24,0.44,19.4,1,10.64,0,0,10.35,10.64,-0.29,0.97,none
0.65,11.46,0.35,16.99,1,13.58,0,0,13.4,13.58,-0.18,0.99,none
0.07,3.76,0.93,14.03,1,6.5,0,0,13.31,6.5,6.81,2.05,unattractive
0.94,6.45,0.06,19.88,1,11.66,0,0,7.26,11.66,-4.4,0.62,attractive
0.9,3.01,0.1,15.84,1,10.77,0,0,4.29,10.77,-6.48,0.4,attractive
0.09,4.17,0.91,15.66,1,9.12,0,0,14.63,9.12,5.51,1.6,unattractive
0.18,4.75,0.82,10.48,1,8.94,0,0,9.45,8.94,0.51,1.06,unattractive
0.53,2.18,0.47,18.93,1,18.37,0,0,10.05,18.37,-8.32,0.55,none
0.2,1.81,0.8,5.58,1,4.57,0,0,4.83,4.57,0.26,1.06,none
0.54,2.66,0.46,13.42,1,3.05,0,0,7.61,3.05,4.56,2.5,none
0.62,10.92,0.38,15.1,1,11.79,0,0,12.51,11.79,0.72,1.06,none
0.8,4.29,0.2,17.64,1,8.92,0,0,6.96,8.92,-1.96,0.78,none
0.87,4.36,0.13,13.08,1,12.53,0,0,5.49,12.53,-7.04,0.44,attractive
0.62,6.07,0.38,12.69,1,7.62,0,0,8.59,7.62,0.97,1.13,none
0.81,3.22,0.19,9.82,1,6.87,0,0,4.47,6.87,-2.4,0.65,attractive
0.96,8.41,0.04,13.66,1,12.45,0,0,8.62,12.45,-3.83,0.69,attractive
0.68,5.82,0.32,15.33,1,11.92,0,0,8.86,11.92,-3.06,0.74,none
0.48,3.98,0.52,13.88,1,5.76,0,0,9.13,5.76,3.37,1.59,none
0.43,3.23,0.57,10.81,1,9.26,0,0,7.55,9.26,-1.71,0.82,none
0.25,6.12,0.75,17.65,1,12.17,0,0,14.77,12.17,2.6,1.21,none
0.85,6.67,0.15,19.43,1,16.96,0,0,8.58,16.96,-8.38,0.51,attractive
0.65,8.58,0.35,13.81,1,10.33,0,0,10.41,10.33,0.08,1.01,none
0.16,2.49,0.84,15.45,1,5.24,0,0,13.38,5.24,8.14,2.55,unattractive
0.2,0.88,0.8,9.9,1,6.92,0,0,8.1,6.92,1.18,1.17,none
0.51,5.23,0.49,14.48,1,8.04,0,0,9.76,8.04,1.72,1.21,none
0.2,4.41,0.8,18.29,1,12.07,0,0,15.51,12.07,3.44,1.29,none
0.52,0.11,0.48,10.32,1,9.4,0,0,5.01,9.4,-4.39,0.53,none
0.52,1.5,0.48,19.74,1,5.43,0,0,10.26,5.43,4.83,1.89,none
0.48,16.66,0.52,19.63,1,19.51,0,0,18.2,19.51,-1.31,0.93,none
0.59,3.59,0.41,18.85,1,15.98,0,0,9.85,15.98,-6.13,0.62,none
0.69,6.16,0.31,18.8,1,16.81,0,0,10.08,16.81,-6.73,0.6,none
0.09,12.51,0.91,19.84,1,19.4,0,0,19.18,19.4,-0.22,0.99,unattractive
0.52,2.78,0.48,7.03,1,4.12,0,0,4.82,4.12,0.7,1.17,none
0.18,4.35,0.82,13.36,1,8.51,0,0,11.74,8.51,3.23,1.38,unattractive
0.68,2.75,0.32,4.89,1,3.69,0,0,3.43,3.69,-0.26,0.93,none
0.24,4.16,0.76,9.74,1,4.93,0,0,8.4,4.93,3.47,1.7,none
0.44,2.31,0.56,6.89,1,2.99,0,0,4.87,2.99,1.88,1.63,none
0.25,4.52,0.75,12.54,1,5.33,0,0,10.54,5.33,5.21,1.98,none
0.54,3.26,0.46,6.06,1,4.28,0,0,4.55,4.28,0.27,1.06,none
0.6,2.33,0.4,14.55,1,5.29,0,0,7.22,5.29,1.93,1.36,none
0.57,6.8,0.43,12.64,1,11.61,0,0,9.31,11.61,-2.3,0.8,none
0.29,3.28,0.71,17.66,1,13.09,0,0,13.49,13.09,0.4,1.03,none
0.51,11.26,0.49,18.91,1,13.24,0,0,15.01,13.24,1.77,1.13,none
0.53,5.91,0.47,13.91,1,6.24,0,0,9.67,6.24,3.43,1.55,none
0.93,6.91,0.07,11.6,1,11.33,0,0,7.24,11.33,-4.09,0.64,attractive
0.57,2.07,0.43,18.11,1,14.07,0,0,8.97,14.07,-5.1,0.64,none
0.32,0.48,0.68,19.04,1,7.47,0,0,13.1,7.47,5.63,1.75,none
0.81,0.77,0.19,14.71,1,10.09,0,0,3.42,10.09,-6.67,0.34,attractive
0.58,11.48,0.42,15.06,1,13.35,0,0,12.98,13.35,-0.37,0.97,none
0.19,4.35,0.81,16.65,1,4.51,0,0,14.31,4.51,9.8,3.17,unattractive
0.88,5.26,0.12,17.92,1,9.39,0,0,6.78,9.39,-2.61,0.72,attractive
0.76,0.56,0.24,14.39,1,3.96,0,0,3.88,3.96,-0.08,0.98,none
0.24,8.55,0.76,19.24,1,12.37,0,0,16.67,12.37,4.3,1.35,none
0.58,4.28,0.42,16.49,1,6.61,0,0,9.41,6.61,2.8,1.42,none
0.03,0.58,0.97,12.81,1,6.59,0,0,12.44,6.59,5.85,1.89,unattractive
0.83,3.03,0.17,8.9,1,4.14,0,0,4.03,4.14,-0.11,0.97,attractive
0.08,0.59,0.92,16.93,1,13.33,0,0,15.62,13.33,2.29,1.17,unattractive
0.88,8.27,0.12,14.92,1,12.48,0,0,9.07,12.48,-3.41,0.73,attractive
0.74,0.76,0.26,14.27,1,9.51,0,0,4.27,9.51,-5.24,0.45,none
0.26,1,0.74,7.67,1,7.26,0,0,5.94,7.26,-1.32,0.82,none
0.76,4.45,0.24,17.45,1,12.49,0,0,7.57,12.49,-4.92,0.61,none
0.35,0.06,0.65,9.29,1,0.12,0,0,6.06,0.12,5.94,50.5,none
0.54,0.42,0.46,16.87,1,1.81,0,0,7.99,1.81,6.18,4.41,none
0.4,5.86,0.6,9.3,1,7.1,0,0,7.92,7.1,0.82,1.12,none
0.85,0.64,0.15,15.75,1,1.33,0,0,2.91,1.33,1.58,2.19,attractive
0.59,6.6,0.41,16.87,1,12.32,0,0,10.81,12.32,-1.51,0.88,none
0.14,8.46,0.86,17.68,1,14.06,0,0,16.39,14.06,2.33,1.17,unattractive
0.33,12.4,0.67,17.67,1,15.12,0,0,15.93,15.12,0.81,1.05,none
0.04,2.65,0.96,4.73,1,3.79,0,0,4.65,3.79,0.86,1.23,unattractive
0.95,0.07,0.05,17.63,1,9.21,0,0,0.95,9.21,-8.26,0.1,attractive
0.44,11.05,0.56,13.89,1,11.32,0,0,12.64,11.32,1.32,1.12,none
0.91,1.45,0.09,14.79,1,8.39,0,0,2.65,8.39,-5.74,0.32,attractive
0.51,3.05,0.49,15.62,1,3.24,0,0,9.21,3.24,5.97,2.84,none
0.52,0.55,0.48,10.1,1,1.2,0,0,5.13,1.2,3.93,4.28,none
0.04,1.78,0.96,18.22,1,14.03,0,0,17.56,14.03,3.53,1.25,unattractive
0.12,2.85,0.88,11.72,1,11.33,0,0,10.66,11.33,-0.67,0.94,unattractive
0.12,8.59,0.88,19.9,1,17.75,0,0,18.54,17.75,0.79,1.04,unattractive
0.01,2.41,0.99,10.02,1,6.4,0,0,9.94,6.4,3.54,1.55,unattractive
0.12,6.11,0.88,15.4,1,13.13,0,0,14.29,13.13,1.16,1.09,unattractive
0.58,1.53,0.42,19,1,6.91,0,0,8.87,6.91,1.96,1.28,none
0.38,11.42,0.62,19.06,1,17.39,0,0,16.16,17.39,-1.23,0.93,none
0.76,8.21,0.24,15.98,1,9.5,0,0,10.07,9.5,0.57,1.06,none
0.65,7.35,0.35,13.43,1,13.31,0,0,9.48,13.31,-3.83,0.71,none
0.58,2.94,0.42,15.27,1,14.19,0,0,8.12,14.19,-6.07,0.57,none
0.98,4.81,0.02,14.04,1,7.41,0,0,4.99,7.41,-2.42,0.67,attractive
0.83,3.12,0.17,15.61,1,13.92,0,0,5.24,13.92,-8.68,0.38,attractive
0.06,0.76,0.94,5.27,1,4.7,0,0,5,4.7,0.3,1.06,unattractive
0.08,7.76,0.92,11.92,1,8.15,0,0,11.59,8.15,3.44,1.42,unattractive
0.38,0.17,0.62,16.24,1,9.88,0,0,10.13,9.88,0.25,1.03,none
0.52,2.12,0.48,19.08,1,13.06,0,0,10.26,13.06,-2.8,0.79,none
0.46,3.15,0.54,13.74,1,6.97,0,0,8.87,6.97,1.9,1.27,none
0.39,2.26,0.61,18.41,1,17.95,0,0,12.11,17.95,-5.84,0.67,none
0.11,9.15,0.89,15.92,1,13.78,0,0,15.18,13.78,1.4,1.1,unattractive
0.81,1.84,0.19,9.35,1,5.89,0,0,3.27,5.89,-2.62,0.56,attractive
0.15,6.07,0.85,13.78,1,6.75,0,0,12.62,6.75,5.87,1.87,unattractive
0.04,11.46,0.96,19.68,1,14.73,0,0,19.35,14.73,4.62,1.31,unattractive
0.15,16.72,0.85,19.6,1,18.62,0,0,19.17,18.62,0.55,1.03,unattractive
0.05,6.4,0.95,16.18,1,11.39,0,0,15.69,11.39,4.3,1.38,unattractive
0.41,3.43,0.59,12.85,1,4.35,0,0,8.99,4.35,4.64,2.07,none
0.62,0.93,0.38,18.89,1,10.85,0,0,7.75,10.85,-3.1,0.71,none
0.61,0.42,0.39,11.24,1,6.04,0,0,4.64,6.04,-1.4,0.77,none
0.79,0.95,0.21,12.59,1,10.85,0,0,3.39,10.85,-7.46,0.31,none
0.64,1.65,0.36,7.38,1,4.35,0,0,3.71,4.35,-0.64,0.85,none
0.62,1.42,0.38,14.37,1,7.99,0,0,6.34,7.99,-1.65,0.79,none
0.19,7.16,0.81,14.5,1,7.82,0,0,13.11,7.82,5.29,1.68,unattractive
0.57,8.29,0.43,17.2,1,15.39,0,0,12.12,15.39,-3.27,0.79,none
0.05,0.68,0.95,17.95,1,14.79,0,0,17.09,14.79,2.3,1.16,unattractive
0.31,0.14,0.69,18.68,1,13.22,0,0,12.93,13.22,-0.29,0.98,none
0.92,0.82,0.08,19.57,1,6.91,0,0,2.32,6.91,-4.59,0.34,attractive
0.59,3.35,0.41,13.66,1,7.05,0,0,7.58,7.05,0.53,1.08,none
0.93,2.98,0.07,19.1,1,18.16,0,0,4.11,18.16,-14.05,0.23,attractive
0.15,1.08,0.85,2.63,1,1.6,0,0,2.4,1.6,0.8,1.5,unattractive
0.9,1.8,0.1,18.72,1,9.05,0,0,3.49,9.05,-5.56,0.39,attractive
0.29,1.65,0.71,13.06,1,10.02,0,0,9.75,10.02,-0.27,0.97,none
0.24,2.21,0.76,15.47,1,9.55,0,0,12.29,9.55,2.74,1.29,none
0.59,3.53,0.41,17.68,1,3.74,0,0,9.33,3.74,5.59,2.49,none
0.41,2.69,0.59,12.35,1,9.6,0,0,8.39,9.6,-1.21,0.87,none
0.32,0.34,0.68,12.8,1,1.99,0,0,8.81,1.99,6.82,4.43,none
0.77,8.95,0.23,16.47,1,13.61,0,0,10.68,13.61,-2.93,0.78,none
0.46,3.97,0.54,8.68,1,8.26,0,0,6.51,8.26,-1.75,0.79,none
0.18,6.36,0.82,19.8,1,8.6,0,0,17.38,8.6,8.78,2.02,unattractive
0.12,1.48,0.88,9.72,1,5.65,0,0,8.73,5.65,3.08,1.55,unattractive
0.37,4.05,0.63,5.53,1,4.27,0,0,4.98,4.27,0.71,1.17,none
0.76,8.53,0.24,15.03,1,11.52,0,0,10.09,11.52,-1.43,0.88,none
0.09,1.74,0.91,10.5,1,9.83,0,0,9.71,9.83,-0.12,0.99,unattractive
0.68,7.94,0.32,14.85,1,14.36,0,0,10.15,14.36,-4.21,0.71,none
0.21,1.04,0.79,18.01,1,4.2,0,0,14.45,4.2,10.25,3.44,none
0.26,1.67,0.74,16.73,1,15.38,0,0,12.81,15.38,-2.57,0.83,none
0.84,5.33,0.16,13.94,1,7.31,0,0,6.71,7.31,-0.6,0.92,attractive
0.32,4.88,0.68,12.63,1,8.59,0,0,10.15,8.59,1.56,1.18,none
0.68,5.85,0.32,15.29,1,8.1,0,0,8.87,8.1,0.77,1.1,none
0.49,4.99,0.51,15.22,1,13.17,0,0,10.21,13.17,-2.96,0.78,none
0.71,1.32,0.29,15.94,1,7.12,0,0,5.56,7.12,-1.56,0.78,none
0.04,5.35,0.96,12.22,1,11.23,0,0,11.95,11.23,0.72,1.06,unattractive
0.85,5.73,0.15,10.68,1,6.78,0,0,6.47,6.78,-0.31,0.95,attractive
0.65,0.36,0.35,14.1,1,13.69,0,0,5.17,13.69,-8.52,0.38,none
0.39,0.54,0.61,12.93,1,2.22,0,0,8.1,2.22,5.88,3.65,none
0.27,5.13,0.73,18.74,1,8.81,0,0,15.07,8.81,6.26,1.71,none
0.99,5.3,0.01,11.8,1,9.55,0,0,5.36,9.55,-4.19,0.56,attractive
0.39,2.29,0.61,8.93,1,7.87,0,0,6.34,7.87,-1.53,0.81,none
0.65,5.46,0.35,16.07,1,10.16,0,0,9.17,10.16,-0.99,0.9,none
0.46,6.44,0.54,16.03,1,15.84,0,0,11.62,15.84,-4.22,0.73,none
0.2,4.51,0.8,11.68,1,9.15,0,0,10.25,9.15,1.1,1.12,none
0.72,15.85,0.28,19.13,1,18.05,0,0,16.77,18.05,-1.28,0.93,none
0.98,0.23,0.02,18.19,1,11.92,0,0,0.59,11.92,-11.33,0.05,attractive
0.63,1.45,0.37,15.75,1,11.58,0,0,6.74,11.58,-4.84,0.58,none
0.33,2.82,0.67,12.54,1,6.52,0,0,9.33,6.52,2.81,1.43,none
0.68,2.94,0.32,13.86,1,3.43,0,0,6.43,3.43,3,1.87,none
0.06,6.5,0.94,19.54,1,15.8,0,0,18.76,15.8,2.96,1.19,unattractive
0.87,0.82,0.13,18.98,1,9.56,0,0,3.18,9.56,-6.38,0.33,attractive
0.98,6.01,0.02,16.88,1,8.83,0,0,6.23,8.83,-2.6,0.71,attractive
0.74,9.12,0.26,19.38,1,17.72,0,0,11.79,17.72,-5.93,0.67,none
0.25,5.1,0.75,17.6,1,17.46,0,0,14.48,17.46,-2.98,0.83,none
0.73,2.52,0.27,13.35,1,10.87,0,0,5.44,10.87,-5.43,0.5,none
0.35,3.41,0.65,16.16,1,11.66,0,0,11.7,11.66,0.04,1,none
0.72,1.36,0.28,18.89,1,10.61,0,0,6.27,10.61,-4.34,0.59,none
0.64,4.08,0.36,15.19,1,13.6,0,0,8.08,13.6,-5.52,0.59,none
0.59,2.2,0.41,15.92,1,15.49,0,0,7.83,15.49,-7.66,0.51,none
0.66,0.43,0.34,7.26,1,5.7,0,0,2.75,5.7,-2.95,0.48,none
0.17,8.97,0.83,11.58,1,9.95,0,0,11.14,9.95,1.19,1.12,unattractive
0.7,0.34,0.3,15.17,1,3.52,0,0,4.79,3.52,1.27,1.36,none
0.83,2.72,0.17,17.8,1,11.71,0,0,5.28,11.71,-6.43,0.45,attractive
0.17,0.76,0.83,16.9,1,12.42,0,0,14.16,12.42,1.74,1.14,unattractive
0.97,0.93,0.03,6.39,1,4.08,0,0,1.09,4.08,-2.99,0.27,attractive
0.45,7.45,0.55,18.81,1,10.73,0,0,13.7,10.73,2.97,1.28,none
0.99,6.23,0.01,14.78,1,8.3,0,0,6.32,8.3,-1.98,0.76,attractive
0.48,12.33,0.52,17.61,1,13.16,0,0,15.08,13.16,1.92,1.15,none
0.88,7.97,0.12,12.5,1,7.98,0,0,8.51,7.98,0.53,1.07,attractive
0.08,5.52,0.92,16.95,1,15.96,0,0,16.04,15.96,0.08,1.01,unattractive
0.79,5.61,0.21,8.97,1,8.93,0,0,6.32,8.93,-2.61,0.71,none
0.94,5.38,0.06,14.2,1,10.89,0,0,5.91,10.89,-4.98,0.54,attractive
0.98,3.53,0.02,19.1,1,9.17,0,0,3.84,9.17,-5.33,0.42,attractive
0.57,0.57,0.43,1.66,1,0.84,0,0,1.04,0.84,0.2,1.24,none
0.25,2.79,0.75,18.14,1,10.98,0,0,14.3,10.98,3.32,1.3,none
0.84,8.36,0.16,14.71,1,10.52,0,0,9.38,10.52,-1.14,0.89,attractive
0.45,1.87,0.55,7.45,1,2.77,0,0,4.94,2.77,2.17,1.78,none
0.98,1.49,0.02,12.14,1,8.75,0,0,1.7,8.75,-7.05,0.19,attractive
0.03,0.36,0.97,17.59,1,12.51,0,0,17.07,12.51,4.56,1.36,unattractive
0.65,1.57,0.35,16.97,1,11.88,0,0,6.96,11.88,-4.92,0.59,none
0.19,6.75,0.81,14.05,1,11.29,0,0,12.66,11.29,1.37,1.12,unattractive
0.74,4.66,0.26,10.58,1,8.68,0,0,6.2,8.68,-2.48,0.71,none
0.16,2.29,0.84,13.45,1,7.23,0,0,11.66,7.23,4.43,1.61,unattractive
0.48,2.86,0.52,17.13,1,15.59,0,0,10.28,15.59,-5.31,0.66,none
0.76,3.36,0.24,13.27,1,5.72,0,0,5.74,5.72,0.02,1,none
0.38,2.57,0.62,16.26,1,3.5,0,0,11.06,3.5,7.56,3.16,none
0.89,0.83,0.11,3.27,1,2.02,0,0,1.1,2.02,-0.92,0.54,attractive
0.48,1.84,0.52,12.28,1,8.14,0,0,7.27,8.14,-0.87,0.89,none
0.98,1.25,0.02,9.25,1,2.18,0,0,1.41,2.18,-0.77,0.65,attractive
0.55,4.19,0.45,10.32,1,9.24,0,0,6.95,9.24,-2.29,0.75,none
0.8,1.88,0.2,7.96,1,3.94,0,0,3.1,3.94,-0.84,0.79,none
0.22,5.6,0.78,18.6,1,6.6,0,0,15.74,6.6,9.14,2.38,none
0.05,6.22,0.95,9.29,1,8.86,0,0,9.14,8.86,0.28,1.03,unattractive
0.87,1.52,0.13,6.83,1,5.39,0,0,2.21,5.39,-3.18,0.41,attractive
0.3,6.39,0.7,12.65,1,10.68,0,0,10.77,10.68,0.09,1.01,none
0.76,5.71,0.24,15.2,1,6.04,0,0,7.99,6.04,1.95,1.32,none
0.41,4.05,0.59,12.86,1,5.84,0,0,9.25,5.84,3.41,1.58,none
0.79,0.14,0.21,17.7,1,14.96,0,0,3.83,14.96,-11.13,0.26,none
0.39,3.15,0.61,12.79,1,3.17,0,0,9.03,3.17,5.86,2.85,none
0.08,0.97,0.92,18.24,1,14.48,0,0,16.86,14.48,2.38,1.16,unattractive
0.18,2.04,0.82,18.76,1,2.83,0,0,15.75,2.83,12.92,5.57,unattractive
0.87,4.49,0.13,13.42,1,6.13,0,0,5.65,6.13,-0.48,0.92,attractive
0.15,13.2,0.85,16.24,1,13.47,0,0,15.78,13.47,2.31,1.17,unattractive
0.72,3.63,0.28,10.57,1,4.92,0,0,5.57,4.92,0.65,1.13,none
0.51,9.05,0.49,18.97,1,18.36,0,0,13.91,18.36,-4.45,0.76,none
0.25,1.8,0.75,19.21,1,16.37,0,0,14.86,16.37,-1.51,0.91,none
